level=0, idx='0'
level=11, idx='1992'
level=11, idx='2052'
level=12, idx='2053'
level=10, idx='2102'
level=10, idx='2139'
level=11, idx='2140'
level=12, idx='2141'
level=11, idx='2180'
level=12, idx='2181'
level=9, idx='2210'
level=10, idx='2211'
level=10, idx='2276'
level=11, idx='2277'
level=12, idx='2278'
level=13, idx='2279'
level=12, idx='2285'
level=11, idx='2289'
level=10, idx='2323'
level=11, idx='2324'
level=12, idx='2325'
level=12, idx='2328'
level=8, idx='2335'
level=9, idx='2336'
level=10, idx='2337'
level=9, idx='2388'
level=10, idx='2389'
level=10, idx='2417'
level=11, idx='2418'
level=8, idx='2451'
level=8, idx='2454'
level=9, idx='2455'
level=10, idx='2456'
level=11, idx='2457'
level=12, idx='2458'
level=12, idx='2461'
level=11, idx='2495'
level=11, idx='2544'
level=12, idx='2545'
level=10, idx='2560'
level=10, idx='2597'
level=11, idx='2598'
level=9, idx='2647'
level=10, idx='2648'
level=10, idx='2663'
level=9, idx='2667'
level=10, idx='2668'
level=11, idx='2669'
level=10, idx='2698'
level=6, idx='2713'
level=7, idx='2714'
level=8, idx='2715'
level=7, idx='2754'
level=8, idx='2755'
level=8, idx='2758'
level=9, idx='2769'
level=10, idx='2770'
level=11, idx='2795'
level=5, idx='2842'
level=5, idx='2845'
level=6, idx='2846'
level=6, idx='2849'
level=7, idx='2850'
level=7, idx='2853'
level=5, idx='2872'
level=6, idx='2873'
level=6, idx='2907'
level=6, idx='2950'
level=7, idx='2967'
level=3, idx='2984'
level=4, idx='2985'
level=5, idx='2986'
level=6, idx='2987'
level=7, idx='2988'
level=8, idx='2989'
level=8, idx='3011'
level=6, idx='3016'
level=7, idx='3034'
level=6, idx='3041'
level=7, idx='3042'
level=7, idx='3072'
level=8, idx='3105'
level=9, idx='3106'
level=5, idx='3130'
level=6, idx='3131'
level=6, idx='3163'
level=4, idx='3170'
level=5, idx='3171'
level=6, idx='3172'
level=5, idx='3178'
level=6, idx='3179'
level=6, idx='3190'
level=5, idx='3199'
level=6, idx='3200'
level=4, idx='3238'
level=5, idx='3239'
level=6, idx='3240'
level=6, idx='3261'
level=7, idx='3262'
level=7, idx='3295'
level=5, idx='3310'
level=6, idx='3311'
level=5, idx='3406'
level=6, idx='3407'
level=7, idx='3411'
level=6, idx='3420'
level=7, idx='3421'
level=8, idx='3422'
level=7, idx='3448'
level=6, idx='3452'
level=7, idx='3460'
level=8, idx='3495'
level=4, idx='3545'
level=5, idx='3546'
level=6, idx='3547'
level=6, idx='3564'
level=3, idx='3590'
level=4, idx='3591'
level=5, idx='3592'
level=6, idx='3593'
level=7, idx='3594'
level=5, idx='3606'
level=4, idx='3643'
level=5, idx='3644'
level=6, idx='3645'
level=6, idx='3678'
level=7, idx='3679'
level=8, idx='3680'
level=7, idx='3688'
level=6, idx='3692'
level=7, idx='3693'
level=5, idx='3714'
level=6, idx='3715'
level=7, idx='3716'
level=6, idx='3765'
level=7, idx='3766'
level=8, idx='3818'
level=6, idx='3823'
level=7, idx='3824'
level=7, idx='3827'
level=8, idx='3828'
level=8, idx='3861'
level=5, idx='3886'
level=6, idx='3887'
level=7, idx='3888'
level=8, idx='3889'
level=5, idx='3920'
level=6, idx='3921'
level=7, idx='3922'
level=7, idx='3998'
level=6, idx='4002'
level=6, idx='4005'
level=7, idx='4006'
level=7, idx='4009'
level=8, idx='4010'
level=9, idx='4011'
level=8, idx='4061'
level=6, idx='4069'
level=7, idx='4070'
level=8, idx='4071'
level=9, idx='4072'
level=10, idx='4073'
level=9, idx='4086'
level=10, idx='4087'
level=11, idx='4088'
level=11, idx='4119'
level=12, idx='4120'
level=8, idx='4183'
level=9, idx='4184'
level=9, idx='4207'
level=8, idx='4227'
level=9, idx='4235'
level=10, idx='4236'
level=10, idx='4270'
level=7, idx='4296'
level=8, idx='4297'
level=9, idx='4313'
level=8, idx='4343'
level=9, idx='4344'
level=10, idx='4376'
level=7, idx='4435'
level=8, idx='4436'
level=9, idx='4478'
level=2, idx='4536'
level=3, idx='4537'
level=4, idx='4538'
level=5, idx='4539'
level=6, idx='4540'
level=5, idx='4602'
level=6, idx='4603'
level=7, idx='4604'
level=8, idx='4605'
level=8, idx='4625'
level=4, idx='4665'
level=5, idx='4666'
level=6, idx='4667'
level=5, idx='4729'
level=6, idx='4730'
level=7, idx='4767'
level=6, idx='4789'
level=7, idx='4790'
level=7, idx='4793'
level=8, idx='4820'
level=4, idx='4827'
level=5, idx='4828'
level=6, idx='4829'
level=6, idx='4855'
level=7, idx='4856'
level=8, idx='4857'
level=9, idx='4858'
level=7, idx='4871'
level=5, idx='4876'
level=6, idx='4877'
level=6, idx='4920'
level=6, idx='4945'
level=5, idx='4971'
level=6, idx='4972'
level=6, idx='4975'
level=7, idx='4976'
level=5, idx='5034'
level=6, idx='5035'
level=7, idx='5036'
level=8, idx='5037'
level=7, idx='5063'
level=6, idx='5081'
level=7, idx='5082'
level=7, idx='5108'
level=6, idx='5123'
level=7, idx='5124'
level=8, idx='5125'
level=9, idx='5126'
level=7, idx='5158'
level=4, idx='5205'
level=5, idx='5206'
level=6, idx='5207'
level=5, idx='5222'
level=6, idx='5223'
level=6, idx='5257'
level=3, idx='5294'
level=4, idx='5295'
level=5, idx='5296'
level=6, idx='5297'
level=7, idx='5298'
level=8, idx='5299'
level=8, idx='5302'
level=7, idx='5317'
level=6, idx='5355'
level=7, idx='5356'
level=6, idx='5442'
level=7, idx='5443'
level=4, idx='5484'
level=4, idx='5487'
level=4, idx='5490'
level=5, idx='5491'
level=6, idx='5492'
level=7, idx='5511'
level=6, idx='5515'
level=7, idx='5516'
level=7, idx='5537'
level=6, idx='5541'
level=7, idx='5542'
level=8, idx='5543'
level=5, idx='5571'
level=6, idx='5572'
level=6, idx='5575'
level=6, idx='5602'
level=5, idx='5640'
level=6, idx='5641'
level=7, idx='5642'
level=7, idx='5671'
level=5, idx='5676'
level=6, idx='5677'
level=7, idx='5678'
level=8, idx='5679'
level=6, idx='5723'
level=7, idx='5724'
level=6, idx='5763'
level=7, idx='5764'
level=3, idx='5780'
level=4, idx='5781'
level=5, idx='5782'
level=6, idx='5783'
level=7, idx='5784'
level=6, idx='5817'
level=6, idx='5865'
level=5, idx='5869'
level=6, idx='5870'
level=6, idx='5898'
level=7, idx='5899'
level=8, idx='5900'
level=9, idx='5901'
level=10, idx='5902'
level=9, idx='5953'
level=10, idx='5954'
level=11, idx='5955'
level=11, idx='5958'
level=8, idx='5964'
level=9, idx='5965'
level=9, idx='5979'
level=10, idx='5980'
level=7, idx='6010'
level=7, idx='6013'
level=8, idx='6014'
level=9, idx='6015'
level=10, idx='6016'
level=10, idx='6048'
level=9, idx='6086'
level=4, idx='6094'
level=5, idx='6095'
level=5, idx='6132'
level=6, idx='6133'
level=6, idx='6136'
level=4, idx='6170'
level=5, idx='6171'
level=6, idx='6172'
level=5, idx='6176'
level=6, idx='6177'
level=5, idx='6218'
level=6, idx='6239'
level=7, idx='6240'
level=2, idx='6248'
level=3, idx='6249'
level=3, idx='6252'
level=4, idx='6253'
level=5, idx='6254'
level=5, idx='6285'
level=6, idx='6286'
level=5, idx='6290'
level=6, idx='6302'
level=4, idx='6374'
level=5, idx='6375'
level=6, idx='6376'
level=4, idx='6399'
level=5, idx='6400'
level=6, idx='6401'
level=7, idx='6402'
level=7, idx='6432'
level=3, idx='6480'
level=4, idx='6481'
level=5, idx='6482'
level=6, idx='6483'
level=7, idx='6492'
level=6, idx='6496'
level=7, idx='6497'
level=8, idx='6510'
level=7, idx='6540'
level=5, idx='6545'
level=6, idx='6546'
level=7, idx='6547'
level=8, idx='6576'
level=7, idx='6599'
level=6, idx='6663'
level=5, idx='6667'
level=6, idx='6668'
level=7, idx='6669'
level=8, idx='6670'
level=9, idx='6671'
level=9, idx='6674'
level=7, idx='6679'
level=8, idx='6680'
level=8, idx='6697'
level=7, idx='6710'
level=8, idx='6711'
level=8, idx='6743'
level=9, idx='6744'
level=10, idx='6745'
level=6, idx='6796'
level=7, idx='6797'
level=8, idx='6798'
level=6, idx='6825'
level=7, idx='6826'
level=8, idx='6827'
level=8, idx='6858'
level=9, idx='6859'
level=9, idx='6862'
level=5, idx='6896'
level=4, idx='6900'
level=5, idx='6901'
level=3, idx='6906'
level=4, idx='6907'
level=5, idx='6908'
level=6, idx='6920'
level=7, idx='6921'
level=7, idx='6924'
level=5, idx='6929'
level=6, idx='6930'
level=4, idx='6966'
level=5, idx='6967'
level=6, idx='6968'
level=5, idx='6992'
level=4, idx='6996'
level=5, idx='6997'
level=6, idx='6998'
level=6, idx='7001'
level=5, idx='7021'
level=6, idx='7022'
level=7, idx='7023'
level=8, idx='7024'
level=7, idx='7058'
level=8, idx='7059'
level=7, idx='7115'
level=8, idx='7116'
level=9, idx='7117'
level=10, idx='7118'
level=9, idx='7143'
level=9, idx='7172'
level=10, idx='7173'
level=11, idx='7174'
level=12, idx='7204'
level=11, idx='7239'
level=5, idx='7294'
level=4, idx='7383'
level=5, idx='7384'
level=5, idx='7431'
level=6, idx='7432'
level=7, idx='7433'
level=7, idx='7451'
level=2, idx='7475'
level=3, idx='7476'
level=4, idx='7477'
level=5, idx='7478'
level=6, idx='7479'
level=7, idx='7480'
level=8, idx='7489'
level=7, idx='7520'
level=8, idx='7521'
level=7, idx='7553'
level=8, idx='7554'
level=6, idx='7573'
level=7, idx='7574'
level=8, idx='7575'
level=9, idx='7576'
level=10, idx='7577'
level=10, idx='7580'
level=9, idx='7615'
level=10, idx='7616'
level=10, idx='7638'
level=9, idx='7669'
level=10, idx='7670'
level=8, idx='7675'
level=9, idx='7676'
level=8, idx='7705'
level=7, idx='7709'
level=8, idx='7710'
level=7, idx='7751'
level=8, idx='7760'
level=6, idx='7765'
level=7, idx='7766'
level=6, idx='7770'
level=7, idx='7771'
level=8, idx='7772'
level=7, idx='7807'
level=7, idx='7836'
level=8, idx='7849'
level=5, idx='7855'
level=6, idx='7856'
level=7, idx='7857'
level=8, idx='7858'
level=6, idx='7863'
level=7, idx='7864'
level=8, idx='7865'
level=9, idx='7874'
level=7, idx='7879'
level=8, idx='7880'
level=9, idx='7881'
level=8, idx='7895'
level=7, idx='7937'
level=8, idx='7938'
level=8, idx='7941'
level=9, idx='7942'
level=10, idx='7943'
level=9, idx='7976'
level=10, idx='7977'
level=8, idx='8025'
level=9, idx='8026'
level=10, idx='8027'
level=9, idx='8039'
level=10, idx='8040'
level=8, idx='8127'
level=9, idx='8128'
level=10, idx='8129'
level=10, idx='8174'
level=11, idx='8175'
level=12, idx='8176'
level=12, idx='8179'
level=11, idx='8191'
level=10, idx='8195'
level=9, idx='8199'
level=10, idx='8200'
level=11, idx='8201'
level=10, idx='8205'
level=11, idx='8206'
level=9, idx='8293'
level=10, idx='8294'
level=11, idx='8295'
level=12, idx='8296'
level=13, idx='8297'
level=14, idx='8298'
level=15, idx='8299'
level=11, idx='8327'
level=12, idx='8328'
level=13, idx='8329'
level=14, idx='8346'
level=15, idx='8347'
level=13, idx='8380'
level=12, idx='8413'
level=12, idx='8498'
level=13, idx='8499'
level=14, idx='8500'
level=15, idx='8501'
level=13, idx='8525'
level=14, idx='8526'
level=11, idx='8538'
level=12, idx='8539'
level=13, idx='8540'
level=12, idx='8544'
level=13, idx='8583'
level=14, idx='8584'
level=14, idx='8587'
level=6, idx='8647'
level=7, idx='8648'
level=8, idx='8649'
level=7, idx='8655'
level=8, idx='8656'
level=8, idx='8661'
level=6, idx='8690'
level=7, idx='8691'
level=7, idx='8741'
level=8, idx='8788'
level=9, idx='8802'
level=5, idx='8812'
level=6, idx='8813'
level=7, idx='8814'
level=5, idx='8830'
level=6, idx='8831'
level=6, idx='8834'
level=7, idx='8835'
level=6, idx='8876'
level=4, idx='8940'
level=5, idx='8941'
level=6, idx='8942'
level=7, idx='8943'
level=8, idx='8944'
level=9, idx='8945'
level=10, idx='8946'
level=9, idx='8953'
level=9, idx='8976'
level=10, idx='8977'
level=11, idx='8978'
level=12, idx='9004'
level=11, idx='9010'
level=7, idx='9094'
level=7, idx='9097'
level=8, idx='9098'
level=9, idx='9099'
level=6, idx='9115'
level=7, idx='9116'
level=7, idx='9200'
level=8, idx='9201'
level=9, idx='9242'
level=7, idx='9276'
level=8, idx='9277'
level=9, idx='9278'
level=6, idx='9360'
level=7, idx='9361'
level=8, idx='9362'
level=7, idx='9366'
level=8, idx='9367'
level=9, idx='9368'
level=8, idx='9412'
level=7, idx='9416'
level=8, idx='9417'
level=5, idx='9458'
level=6, idx='9459'
level=6, idx='9481'
level=7, idx='9494'
level=6, idx='9502'
level=7, idx='9503'
level=7, idx='9525'
level=8, idx='9526'
level=5, idx='9546'
level=6, idx='9547'
level=5, idx='9553'
level=6, idx='9554'
level=7, idx='9555'
level=7, idx='9558'
level=8, idx='9559'
level=7, idx='9606'
level=6, idx='9610'
level=7, idx='9611'
level=6, idx='9641'
level=7, idx='9642'
level=7, idx='9657'
level=4, idx='9706'
level=5, idx='9707'
level=6, idx='9708'
level=7, idx='9709'
level=6, idx='9716'
level=7, idx='9717'
level=5, idx='9778'
level=6, idx='9779'
level=7, idx='9780'
level=8, idx='9781'
level=7, idx='9821'
level=8, idx='9822'
level=8, idx='9829'
level=6, idx='9867'
level=5, idx='9889'
level=6, idx='9890'
level=7, idx='9891'
level=8, idx='9892'
level=7, idx='9905'
level=7, idx='9908'
level=8, idx='9909'
level=9, idx='9910'
level=10, idx='9911'
level=11, idx='9927'
level=9, idx='9932'
level=6, idx='9947'
level=7, idx='9948'
level=8, idx='9966'
level=7, idx='9978'
level=8, idx='9979'
level=9, idx='9980'
level=10, idx='9981'
level=11, idx='9982'
level=10, idx='10039'
level=11, idx='10040'
level=12, idx='10041'
level=13, idx='10042'
level=11, idx='10049'
level=12, idx='10068'
level=11, idx='10087'
level=12, idx='10088'
level=9, idx='10122'
level=9, idx='10178'
level=8, idx='10185'
level=9, idx='10186'
level=7, idx='10238'
level=8, idx='10239'
level=6, idx='10283'
level=7, idx='10284'
level=8, idx='10285'
level=9, idx='10286'
level=9, idx='10311'
level=10, idx='10312'
level=11, idx='10346'
level=8, idx='10394'
level=9, idx='10395'
level=8, idx='10412'
level=9, idx='10413'
level=6, idx='10488'
level=7, idx='10489'
level=8, idx='10490'
level=8, idx='10525'
level=9, idx='10526'
level=10, idx='10535'
level=7, idx='10575'
level=8, idx='10576'
level=9, idx='10577'
level=7, idx='10670'
level=8, idx='10671'
level=3, idx='10679'
level=4, idx='10680'
level=5, idx='10681'
level=6, idx='10682'
level=5, idx='10770'
level=6, idx='10771'
level=4, idx='10791'
level=5, idx='10792'
level=6, idx='10793'
level=7, idx='10794'
level=8, idx='10795'
level=8, idx='10798'
level=6, idx='10803'
level=7, idx='10804'
level=5, idx='10827'
level=4, idx='10831'
level=5, idx='10832'
level=5, idx='10835'
level=5, idx='10838'
level=3, idx='10843'
level=4, idx='10844'
level=5, idx='10845'
level=6, idx='10846'
level=7, idx='10847'
level=6, idx='10886'
level=7, idx='10887'
level=6, idx='10891'
level=5, idx='10895'
level=6, idx='10896'
level=6, idx='10899'
level=7, idx='10900'
level=7, idx='10903'
level=8, idx='10904'
level=9, idx='10905'
level=8, idx='10909'
level=9, idx='10910'
level=9, idx='10973'
level=10, idx='10974'
level=11, idx='10975'
level=11, idx='11018'
level=10, idx='11036'
level=9, idx='11042'
level=10, idx='11043'
level=8, idx='11062'
level=7, idx='11068'
level=8, idx='11069'
level=9, idx='11070'
level=10, idx='11071'
level=10, idx='11074'
level=11, idx='11075'
level=12, idx='11076'
level=11, idx='11116'
level=12, idx='11117'
level=7, idx='11138'
level=8, idx='11139'
level=9, idx='11140'
level=9, idx='11143'
level=10, idx='11161'
level=11, idx='11162'
level=8, idx='11183'
level=9, idx='11184'
level=10, idx='11185'
level=8, idx='11212'
level=9, idx='11213'
level=10, idx='11214'
level=11, idx='11215'
level=12, idx='11216'
level=13, idx='11217'
level=12, idx='11255'
level=13, idx='11256'
level=14, idx='11257'
level=11, idx='11320'
level=10, idx='11324'
level=11, idx='11325'
level=10, idx='11367'
level=11, idx='11368'
level=12, idx='11369'
level=13, idx='11370'
level=12, idx='11374'
level=13, idx='11400'
level=9, idx='11437'
level=10, idx='11438'
level=11, idx='11439'
level=10, idx='11487'
level=11, idx='11488'
level=12, idx='11489'
level=13, idx='11490'
level=11, idx='11522'
level=11, idx='11525'
level=12, idx='11526'
level=10, idx='11548'
level=11, idx='11549'
level=12, idx='11550'
level=13, idx='11581'
level=12, idx='11617'
level=13, idx='11621'
level=11, idx='11645'
level=12, idx='11646'
level=13, idx='11647'
level=12, idx='11696'
level=13, idx='11697'
level=14, idx='11698'
level=15, idx='11699'
level=15, idx='11702'
level=13, idx='11707'
level=14, idx='11708'
level=15, idx='11709'
level=16, idx='11710'
level=12, idx='11782'
level=13, idx='11783'
level=11, idx='11788'
level=9, idx='11793'
level=10, idx='11794'
level=10, idx='11802'
level=11, idx='11803'
level=12, idx='11843'
level=13, idx='11844'
level=11, idx='11890'
level=12, idx='11891'
level=10, idx='11910'
level=11, idx='11911'
level=12, idx='11912'
level=12, idx='11915'
level=9, idx='11988'
level=10, idx='11989'
level=11, idx='11990'
level=11, idx='12001'
level=10, idx='12033'
level=11, idx='12068'
level=10, idx='12074'
level=8, idx='12118'
level=9, idx='12119'
level=10, idx='12120'
level=11, idx='12121'
level=11, idx='12145'
level=12, idx='12146'
level=13, idx='12188'
level=9, idx='12195'
level=10, idx='12196'
level=9, idx='12214'
level=6, idx='12274'
level=7, idx='12275'
level=7, idx='12346'
level=8, idx='12347'
level=8, idx='12394'
level=7, idx='12432'
level=6, idx='12436'
level=7, idx='12437'
level=8, idx='12438'
level=9, idx='12439'
level=10, idx='12440'
level=11, idx='12441'
level=11, idx='12468'
level=10, idx='12474'
level=9, idx='12478'
level=10, idx='12479'
level=11, idx='12480'
level=12, idx='12481'
level=12, idx='12517'
level=11, idx='12559'
level=12, idx='12560'
level=10, idx='12574'
level=11, idx='12609'
level=12, idx='12610'
level=12, idx='12613'
level=10, idx='12652'
level=11, idx='12653'
level=11, idx='12664'
level=8, idx='12687'
level=9, idx='12688'
level=9, idx='12725'
level=7, idx='12742'
level=7, idx='12767'
level=8, idx='12768'
level=9, idx='12769'
level=9, idx='12824'
level=8, idx='12828'
level=9, idx='12829'
level=9, idx='12849'
level=5, idx='12856'
level=6, idx='12857'
level=5, idx='12861'
level=6, idx='12862'
level=7, idx='12863'
level=8, idx='12864'
level=9, idx='12865'
level=10, idx='12866'
level=9, idx='12873'
level=10, idx='12874'
level=10, idx='12877'
level=9, idx='12891'
level=10, idx='12892'
level=11, idx='12893'
level=11, idx='12918'
level=12, idx='12919'
level=10, idx='12932'
level=7, idx='12975'
level=8, idx='12976'
level=9, idx='12977'
level=10, idx='12978'
level=11, idx='12979'
level=11, idx='12982'
level=12, idx='12983'
level=10, idx='12988'
level=7, idx='12994'
level=8, idx='12995'
level=9, idx='12996'
level=8, idx='13000'
level=8, idx='13003'
level=9, idx='13026'
level=7, idx='13031'
level=8, idx='13032'
level=9, idx='13033'
level=10, idx='13034'
level=9, idx='13038'
level=8, idx='13048'
level=9, idx='13049'
level=9, idx='13052'
level=10, idx='13053'
level=11, idx='13054'
level=12, idx='13055'
level=12, idx='13058'
level=13, idx='13059'
level=9, idx='13066'
level=10, idx='13067'
level=11, idx='13068'
level=11, idx='13071'
level=12, idx='13072'
level=11, idx='13076'
level=12, idx='13096'
level=4, idx='13107'
level=5, idx='13108'
level=6, idx='13109'
level=7, idx='13110'
level=8, idx='13111'
level=6, idx='13155'
level=6, idx='13190'
level=5, idx='13194'
level=3, idx='13199'
level=4, idx='13200'
level=4, idx='13203'
level=5, idx='13204'
level=6, idx='13205'
level=7, idx='13228'
level=6, idx='13236'
level=6, idx='13285'
level=7, idx='13286'
level=5, idx='13301'
level=4, idx='13316'
level=5, idx='13317'
level=6, idx='13345'
level=5, idx='13381'
level=6, idx='13382'
level=7, idx='13383'
level=6, idx='13434'
level=5, idx='13462'
level=6, idx='13463'
level=7, idx='13464'
level=4, idx='13504'
level=5, idx='13505'
level=6, idx='13506'
level=7, idx='13507'
level=8, idx='13508'
level=6, idx='13539'
level=7, idx='13540'
level=8, idx='13541'
level=9, idx='13559'
level=7, idx='13615'
level=7, idx='13670'
level=8, idx='13671'
level=9, idx='13672'
level=6, idx='13716'
level=5, idx='13720'
level=6, idx='13721'
level=7, idx='13722'
level=8, idx='13723'
level=7, idx='13765'
level=6, idx='13769'
level=7, idx='13770'
level=2, idx='13824'
level=3, idx='13825'
level=4, idx='13826'
level=5, idx='13827'
level=6, idx='13828'
level=7, idx='13838'
level=6, idx='13877'
level=6, idx='13880'
level=5, idx='13884'
level=6, idx='13885'
level=3, idx='13893'
level=4, idx='13894'
level=5, idx='13895'
level=5, idx='13921'
level=6, idx='13922'
level=7, idx='13923'
level=7, idx='13937'
level=5, idx='13971'
level=6, idx='13972'
level=7, idx='13973'
level=8, idx='13974'
level=8, idx='13996'
level=9, idx='13997'
level=10, idx='13998'
level=7, idx='14050'
level=6, idx='14061'
level=7, idx='14062'
level=8, idx='14063'
level=7, idx='14075'
level=8, idx='14076'
level=6, idx='14120'
level=7, idx='14158'
level=4, idx='14192'
level=5, idx='14193'
level=6, idx='14194'
level=7, idx='14195'
level=7, idx='14229'
level=5, idx='14253'
level=6, idx='14254'
level=7, idx='14277'
level=8, idx='14278'
level=5, idx='14315'
level=6, idx='14316'
level=6, idx='14324'
level=4, idx='14344'
level=5, idx='14345'
level=6, idx='14346'
level=3, idx='14415'
level=3, idx='14418'
level=4, idx='14419'
level=5, idx='14420'
level=6, idx='14421'
level=5, idx='14451'
level=6, idx='14452'
level=7, idx='14453'
level=6, idx='14490'
level=5, idx='14494'
level=6, idx='14495'
level=7, idx='14496'
level=8, idx='14497'
level=9, idx='14498'
level=8, idx='14502'
level=9, idx='14503'
level=7, idx='14537'
level=4, idx='14568'
level=5, idx='14569'
level=6, idx='14570'
level=6, idx='14618'
level=7, idx='14619'
level=7, idx='14625'
level=5, idx='14680'
level=6, idx='14681'
level=6, idx='14720'
level=7, idx='14721'
level=4, idx='14760'
level=5, idx='14761'
level=6, idx='14762'
level=6, idx='14765'
level=7, idx='14766'
level=7, idx='14769'
level=5, idx='14823'
level=6, idx='14824'
level=7, idx='14825'
level=5, idx='14846'
level=6, idx='14847'
level=7, idx='14848'
level=6, idx='14854'
level=6, idx='14881'
level=7, idx='14912'
level=5, idx='14962'
level=6, idx='14963'
level=7, idx='14964'
level=7, idx='14988'
level=8, idx='14989'
level=8, idx='14992'
level=7, idx='15007'
level=8, idx='15039'
9662
